Food code,Main food description,WWEIA number,WWEIA description,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Fiber (g),Total Fat (g),Water (g)
27313160,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,139,10.39,7.41,1.43,0.9,7.64,73.53
27313210,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,126,6.74,13.74,1.62,1.5,5.06,73.07
27313220,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,130,6.77,14.86,1.56,1.4,5.07,71.95
27313310,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",3002,Meat mixed dishes,125,6.6,13.58,1.13,1.2,5.06,73.52
27313320,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",3002,Meat mixed dishes,129,6.63,14.63,1.08,1.1,5.03,72.49
27313410,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,127,6.65,13.81,0.75,1.1,5.04,73.28
27313420,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,131,6.68,14.94,0.7,1,5.05,72.14
27315010,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3002,Meat mixed dishes,149,7.54,18.38,0.69,1,4.86,67.9
27315020,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,149,7.62,20,0.62,0.9,4.29,66.76
27315210,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,131,5.85,14.9,1.45,1.1,5.4,72.5
27315220,"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,132,5.91,16.08,1.4,1,4.99,71.72
27315250,Stuffed cabbage rolls with beef and rice,3002,Meat mixed dishes,112,8.41,8.64,3.45,1.3,5.02,76.51
27315270,Stuffed grape leaves with beef and rice,3002,Meat mixed dishes,228,8.15,11.3,2.48,3.1,17.03,61.53
27315310,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",3002,Meat mixed dishes,130,5.78,14.69,0.97,0.9,5.23,73.08
27315320,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",3002,Meat mixed dishes,133,5.81,15.73,0.92,0.8,5.23,72.05
27315330,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3002,Meat mixed dishes,147,8.58,15.54,0.58,0.8,5.51,68.89
27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3002,Meat mixed dishes,143,8.18,15.85,0.5,0.7,5.24,69.32
27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,131,5.77,15.01,0.59,0.8,5.18,72.85
27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,135,5.8,16.13,0.54,0.7,5.18,71.71
27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,143,10.56,7.9,1.31,1.1,7.7,72.71
27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,145,10.86,7.72,1.43,0.8,7.95,72.38
27317010,"Pot pie, beef",3002,Meat mixed dishes,270,8.92,23.88,3.33,1.9,15.36,50.42
27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,127,6.15,11.7,1.12,0.9,6.36,74.33
27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,130,6.19,12.85,1.07,0.8,6.16,73.37
27319010,"Stuffed green pepper, Puerto Rican style",3002,Meat mixed dishes,150,8.96,15.56,3.48,2.1,5.87,66.92
27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,151,8.42,18.31,0.84,1.4,4.91,67.05
27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3002,Meat mixed dishes,148,8.35,16.74,0.91,1.5,5.19,68.4
27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3002,Meat mixed dishes,155,9.18,15.32,0.69,1.1,6.42,67.61
27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3002,Meat mixed dishes,128,6.55,13.44,1.19,1.8,5.43,73.1
27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,125,6.48,13.75,1.62,1.5,5.02,73.36
27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,131,5.26,15.34,1.74,1.4,5.69,72.13
27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,127,5.22,14.19,1.8,1.5,5.69,73.27
27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,128,5.03,11.24,1.78,1.7,7.06,75.2
27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,127,5.12,12.28,1.74,1.6,6.64,74.54
27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,128,3.73,11.61,1.11,1.4,7.53,75.66
27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,128,3.78,12.78,1.06,1.3,7.12,74.89
27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,126,4.98,11.22,0.95,1.4,6.84,75.67
27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,126,5.03,12.37,0.9,1.3,6.43,74.91
27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,133,6.59,14.94,1.12,1.7,5.44,71.61
27320310,Pork chow mein or chop suey with noodles,3402,Fried rice and lo/chow mein,143,10.41,11.17,1.55,1.5,6.38,70.83
27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,144,9.96,7.9,1.31,1.1,7.89,73.13
27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,146,10.24,7.72,1.43,0.8,8.15,72.82
27320340,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,129,5.61,14.96,1.45,1.1,5.07,73.01
27320350,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,133,5.64,16.08,1.4,1,5.07,71.9
27320410,"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,126,5.56,15.02,1.12,1.7,5.06,72.66
27320450,"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3002,Meat mixed dishes,128,5.47,13.4,1.18,1.8,5.9,73.5
27320500,Sweet and sour pork with rice,3404,Stir-fry and soy-based sauce mixtures,186,9.81,16.39,7.09,0.6,8.82,63.32
27330050,"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,136,5.05,16.34,0.55,0.7,5.51,71.93
27330060,"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,130,5.13,15.15,1.47,1.1,5.31,73.03
27330080,"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,133,5.02,15.2,0.6,0.8,5.5,73.06
27330170,Stuffed grape leaves with lamb and rice,3002,Meat mixed dishes,271,8.17,11.89,2.39,3.3,21.52,57.38
27330210,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,97,8.25,11.66,1.69,1.9,1.89,76.73
27331150,"Veal fricassee, Puerto Rican style",3002,Meat mixed dishes,170,16.37,7.23,1.26,1.2,8.09,65.38
27335500,"Stewed rabbit, Puerto Rican style,",3002,Meat mixed dishes,214,17.14,6.83,0.92,1,12.7,60.39
27336100,"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,72,7.52,8.52,1.98,1.6,0.82,82.04
27336200,"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,127,5.95,11.17,0.94,1.4,6.5,75.15
27336250,"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,127,6.01,12.31,0.9,1.3,6.1,74.39
27336300,"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,130,7.43,13.64,1.61,1.5,5.11,72.54
27336310,"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,134,7.47,14.75,1.55,1.4,5.11,71.43
27341000,"Chicken or turkey, potatoes, corn, and cheese, with gravy",3004,Poultry mixed dishes,124,4.55,13.22,0.95,1.1,6.2,74.66
27341010,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3004,Poultry mixed dishes,129,6.16,13.29,1.18,1.8,5.97,73.14
27341020,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3004,Poultry mixed dishes,132,6.21,14.81,1.11,1.7,5.7,71.84
27341025,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3004,Poultry mixed dishes,123,4.72,11.17,0.94,1.4,6.82,75.99
27341030,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3004,Poultry mixed dishes,127,4.75,12.27,0.89,1.3,6.82,74.9
27341035,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,126,4.79,11.08,1.29,1.4,7.12,75.68
27341040,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,126,4.84,12.14,1.25,1.3,6.75,74.98
27341045,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3004,Poultry mixed dishes,129,7.54,11.71,0.96,1.4,5.93,73.2
27341050,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3004,Poultry mixed dishes,133,7.57,12.86,0.9,1.3,5.93,72.06
27341055,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,124,4.81,11.09,1.78,1.7,7.02,75.62
27341060,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,128,4.84,12.18,1.72,1.6,7.03,74.53
27341310,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3004,Poultry mixed dishes,76,6.08,7.92,1.46,1.2,2.34,82.53
27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",3004,Poultry mixed dishes,86,6.82,9.89,2.4,2.2,2.35,79.61
